ML_Model,Symbol,FeatureSet,Horizon_Days,Validation_RMSE,Test_RMSE
XGBoost,CBRE,Basic,5,7.121739409064112,7.66690667025357
XGBoost,CBRE,Advanced,1,2.5815221391576815,3.52446916090504
XGBoost,CBRE,Advanced,3,4.6297774397617735,6.77652496240002
XGBoost,CBRE,Advanced,5,6.375922304260425,8.265106002814846
XGBoost,CEG,Basic,1,14.598017360849912,13.028173279565575
XGBoost,CEG,Basic,3,21.39651487265214,22.381295374140798
XGBoost,CEG,Basic,5,26.005898480220406,26.005569577108577
XGBoost,CEG,Advanced,1,13.206878181795197,10.875047543872931
XGBoost,CEG,Advanced,3,20.644627562313683,19.565153626011657
XGBoost,CEG,Advanced,5,25.040664163291176,25.184412558514076
XGBoost,CHRW,Basic,1,3.236368253007674,5.372011006475051
XGBoost,CHRW,Basic,3,6.540574076873757,9.77462207017167
XGBoost,CHRW,Basic,5,7.347310268185096,12.4977923410839
XGBoost,CHRW,Advanced,1,2.9060533870239467,4.86191318759555
XGBoost,CHRW,Advanced,3,5.070148167707347,8.4827292391133
XGBoost,CHRW,Advanced,5,6.6111439737361,10.789133201202642
XGBoost,CI,Basic,1,6.403821846042152,4.824895040848869
XGBoost,CI,Basic,3,10.768800925650687,8.058690983802478
XGBoost,CI,Basic,5,13.990876238575801,10.239229312867755
XGBoost,CI,Advanced,1,6.23631885961931,4.836551553086857
XGBoost,CI,Advanced,3,10.508750409645792,8.2912533168922
XGBoost,CI,Advanced,5,12.707948186347357,10.429803531185424
XGBoost,CL,Basic,1,1.1649069367386338,1.7098055247023267
XGBoost,CL,Basic,3,1.9982242240942194,2.7565643565162454
XGBoost,CL,Basic,5,2.486984828851285,3.609840120790156
XGBoost,CL,Advanced,1,1.1771751249335396,1.52525487694604
XGBoost,CL,Advanced,3,1.9271277783899816,2.592128549218102
XGBoost,CL,Advanced,5,2.35886988335678,3.482916035434772
XGBoost,COO,Basic,1,1.7989914451289744,1.7177983743358367
XGBoost,COO,Basic,3,2.964822459195417,3.489139933340306
XGBoost,COO,Basic,5,3.670526407411511,4.277041854484101
XGBoost,COO,Advanced,1,1.7888615030485122,1.429526053676212
XGBoost,COO,Advanced,3,2.972570819340854,2.999166342097512
XGBoost,COO,Advanced,5,3.7431153966429482,4.1768915725505344
XGBoost,COP,Basic,1,1.9151518347407017,2.3775333430539876
XGBoost,COP,Basic,3,3.3228444067652068,4.271625195124553
XGBoost,COP,Basic,5,4.125878515229049,5.709600520222674
XGBoost,COP,Advanced,1,1.9367209863178458,2.3601582559125567
XGBoost,COP,Advanced,3,3.471453656483006,3.8000680032502023
