ML_Model,FeatureSet,Horizon_Days,Symbol,Baseline_RMSE,News_RMSE,News_Answers_RMSE
Elastic Net,Advanced,3,WMT,15.570027102420552,15.648993944471375,15.71647583268625
Elastic Net,Advanced,3,WY,5.2597696927088915,5.261072106782459,5.272710938522695
Elastic Net,Advanced,3,XEL,1.530739018869837,1.600399156541932,1.6098643713795036
Elastic Net,Advanced,3,XYL,4.096389280158187,3.9992518824499057,4.005587782111252
Elastic Net,Advanced,5,AAPL,40.24898083100659,40.18892517558594,40.27391580399497
Elastic Net,Advanced,5,ABNB,184.1290423458132,184.72945934612116,184.85496414687782
Elastic Net,Advanced,5,ACN,14.835559563655252,14.912203526500535,14.902885334894668
Elastic Net,Advanced,5,ADBE,103.50686928535954,103.40124252219151,103.279645023546
Elastic Net,Advanced,5,AEP,57.60453850699971,57.6476751524263,57.64687157106354
Elastic Net,Advanced,5,AES,11.731052894683948,11.724633964018269,11.725910342983939
Elastic Net,Advanced,5,AFL,28.659586670241836,28.668821495493404,28.687849626680123
Elastic Net,Advanced,5,AIG,8.648570197873825,8.643686902996025,8.668002968503856
Elastic Net,Advanced,5,AMZN,23.579243683041422,23.728911196907568,23.6597458218194
Elastic Net,Advanced,5,AOS,2.45160061077103,2.4388817295912895,2.414183158447646
Elastic Net,Advanced,5,APA,64.57556060984378,64.63952664915276,64.64082310903387
Elastic Net,Advanced,5,APD,16.51566965135793,16.97261435801224,17.047705468255362
Elastic Net,Advanced,5,APO,13.553140587058925,13.616010882011429,13.601994916693435
Elastic Net,Advanced,5,AXP,10.259003531275482,10.454531532539548,10.473277867594518
Elastic Net,Advanced,5,BA,248.3807495506437,247.9553289025106,247.88881336979983
Elastic Net,Advanced,5,BKNG,37.13006750767818,37.513859000207894,37.521621501763555
Elastic Net,Advanced,5,BKR,55.879744189317975,56.13809122397535,56.140213195196296
Elastic Net,Advanced,5,BR,29.78754412388945,30.05177259009228,30.05384611418227
Elastic Net,Advanced,5,CARR,14.90478401883375,14.893070458499517,14.929391592554435
Elastic Net,Advanced,5,CASY,123.25138188382694,122.72600356429434,122.66726119051587
Elastic Net,Advanced,5,CAT,555.3038665907939,553.5663300237547,552.595188168613
Elastic Net,Advanced,5,CBRE,23.999242682109312,23.56548018188731,23.5625496357254
Elastic Net,Advanced,5,CEG,935.4515976248198,936.0604615039731,936.0709589107088
Elastic Net,Advanced,5,CHRW,22.679872754137797,22.66266689683548,22.683114224662177
Elastic Net,Advanced,5,CI,9.631525617806394,9.70755420228958,9.706987278404643
Elastic Net,Advanced,5,CL,2.7821279321120995,2.8035754392002055,2.801236961539757
Elastic Net,Advanced,5,COO,13.300360810780727,13.301107435074748,13.301405937032273
Elastic Net,Advanced,5,COP,4.9886596014315785,5.187034955813357,5.183615551472548
Elastic Net,Advanced,5,COST,139.6905910331959,140.39654258780035,140.63353106170175
Elastic Net,Advanced,5,CSCO,6.371477958600839,6.4472229624996205,6.486821713252853
Elastic Net,Advanced,5,CSGP,4.7895918073292005,4.798683226266296,4.804222952913631
Elastic Net,Advanced,5,CTAS,19.212275892960978,19.254938482288292,19.274731050234987
Elastic Net,Advanced,5,CTSH,17.32886124492691,17.309951536362746,17.29553423379129
Elastic Net,Advanced,5,CTVA,25.685343764816807,25.805158666097686,25.82900462063868
Elastic Net,Advanced,5,CVS,4.139687343995093,4.205600491380058,4.223277686231423
Elastic Net,Advanced,5,CVX,8.815255854476446,8.564001698530149,8.592949393248967
Elastic Net,Advanced,5,D,15.516793802036846,15.563173241403607,15.558933411199988
Elastic Net,Advanced,5,DASH,54.494933916734816,54.87594731211301,55.238867559381475
Elastic Net,Advanced,5,DG,6.239390076497007,6.254104043574331,6.235413792340763
Elastic Net,Advanced,5,DHR,206.69503660862011,206.69646903214598,206.6764498388651
Elastic Net,Advanced,5,DIS,3.7494829931905254,3.7183335117919345,3.71578913882741
Elastic Net,Advanced,5,DVA,23.453851449152957,23.407393699080295,23.344741925957006
Elastic Net,Advanced,5,DVN,21.591041606149535,21.689399036399173,21.720704024793626
Elastic Net,Advanced,5,DXCM,33.54554084739509,33.749930958749886,33.791147623471566
Elastic Net,Advanced,5,EA,236.3414908316959,236.17505600542478,236.08641485973604
Elastic Net,Advanced,5,ED,10.337808176342323,10.274602678434833,10.288890792108111
Elastic Net,Advanced,5,EOG,7.428694169445319,7.826972529642298,7.789816706679506
Elastic Net,Advanced,5,EW,14.976070280849205,15.049089675948359,15.055016975629556
Elastic Net,Advanced,5,EXE,12.390102557474476,12.487723567388834,12.467554123080573
Elastic Net,Advanced,5,FANG,409.76071869428876,409.9410142666632,409.933687023392
Elastic Net,Advanced,5,GEHC,5.726916379047317,5.871935817394235,5.865390208725751
Elastic Net,Advanced,5,GILD,13.24459341228164,13.452098831310472,13.464392718884735
Elastic Net,Advanced,5,GIS,2.0767343017908066,2.077142491925536,2.0459636795236436
